# Wavelength(micron) (rp/rs)^2 Error_Bars
4.164084362294330433e+00 2.935987990411102234e-03 1.000000000000000082e-05
4.149712586129816749e+00 2.943261733686214614e-03 1.000000000000000082e-05
4.135390412214476008e+00 2.938854071604469608e-03 1.000000000000000082e-05
4.121117669352831747e+00 2.949468897392867276e-03 1.000000000000000082e-05
4.106894186940259317e+00 2.949833624205447976e-03 1.000000000000000082e-05
4.092719794960954616e+00 2.940800093514142535e-03 1.000000000000000082e-05
4.078594323985903713e+00 2.957619989719234826e-03 1.000000000000000082e-05
4.064517605170847148e+00 2.947677659906735269e-03 1.000000000000000082e-05
4.050489470254278856e+00 2.947167543134117211e-03 1.000000000000000082e-05
4.036509751555414915e+00 2.954546350004796582e-03 1.000000000000000082e-05
4.022578281972201353e+00 2.946528989427112631e-03 1.000000000000000082e-05
4.008694894979320189e+00 2.961686537441930202e-03 1.000000000000000082e-05
3.994859424626184374e+00 2.959955113175171716e-03 1.000000000000000082e-05
3.981071705534972249e+00 2.962222142065284048e-03 1.000000000000000082e-05
3.967331572898633141e+00 2.956351137881960481e-03 1.000000000000000082e-05
3.953638862478929816e+00 2.968361882660876770e-03 1.000000000000000082e-05
3.939993410604472501e+00 2.961186943022216071e-03 1.000000000000000082e-05
3.926395054168756449e+00 2.969574999948867630e-03 1.000000000000000082e-05
3.912843630628221270e+00 2.968181340944872019e-03 1.000000000000000082e-05
3.899338978000302269e+00 2.981993378241452105e-03 1.000000000000000082e-05
3.885880934861495994e+00 2.969964841955065847e-03 1.000000000000000082e-05
3.872469340345429778e+00 2.981903575401016922e-03 1.000000000000000082e-05
3.859104034140941497e+00 2.971034499483292835e-03 1.000000000000000082e-05
3.845784856490157555e+00 2.991118235824566981e-03 1.000000000000000082e-05
3.832511648186592179e+00 2.959291296735435881e-03 1.000000000000000082e-05
3.819284250573234285e+00 2.966843471022264853e-03 1.000000000000000082e-05
3.806102505540659653e+00 2.972690971339248239e-03 1.000000000000000082e-05
3.792966255525137775e+00 2.981874881941969351e-03 1.000000000000000082e-05
3.779875343506744478e+00 2.980296892930120803e-03 1.000000000000000082e-05
3.766829613007490973e+00 2.983715015570436065e-03 1.000000000000000082e-05
3.753828908089452021e+00 2.974725387283263731e-03 1.000000000000000082e-05
3.740873073352900313e+00 2.979369668621436804e-03 1.000000000000000082e-05
3.727961953934450179e+00 2.988540240058986611e-03 1.000000000000000082e-05
3.715095395505203513e+00 2.981514673568706232e-03 1.000000000000000082e-05
3.702273244268911245e+00 2.993159418736849459e-03 1.000000000000000082e-05
3.689495346960128597e+00 2.983187555149932960e-03 1.000000000000000082e-05
3.676761550842388093e+00 2.983052267555472495e-03 1.000000000000000082e-05
3.664071703706370364e+00 2.992026546726478387e-03 1.000000000000000082e-05
3.651425653868084709e+00 2.987209079488223080e-03 1.000000000000000082e-05
3.638823250167060319e+00 2.985396675962639565e-03 1.000000000000000082e-05
3.626264341964533511e+00 2.995272823427332608e-03 1.000000000000000082e-05
3.613748779141651823e+00 2.999297326516792931e-03 1.000000000000000082e-05
3.601276412097677682e+00 3.009670835215280064e-03 1.000000000000000082e-05
3.588847091748198714e+00 3.003098252114191555e-03 1.000000000000000082e-05
3.576460669523348734e+00 3.005575223046965359e-03 1.000000000000000082e-05
3.564116997366029604e+00 2.989191182741580532e-03 1.000000000000000082e-05
3.551815927730143763e+00 2.996164832739695288e-03 1.000000000000000082e-05
3.539557313578828968e+00 3.005203701536657019e-03 1.000000000000000082e-05
3.527341008382697485e+00 3.006642349361095083e-03 1.000000000000000082e-05
3.515166866118092592e+00 3.005166122302436495e-03 1.000000000000000082e-05
3.503034741265336205e+00 3.002270175546602020e-03 1.000000000000000082e-05
3.490944488806991153e+00 3.015432740191260463e-03 1.000000000000000082e-05
3.478895964226131898e+00 3.019673778248889006e-03 1.000000000000000082e-05
3.466889023504608147e+00 3.017680164921680060e-03 1.000000000000000082e-05
3.454923523121333773e+00 3.014767614439178584e-03 1.000000000000000082e-05
3.442999320050563750e+00 3.019906608038664276e-03 1.000000000000000082e-05
3.431116271760187963e+00 3.011480367956773964e-03 1.000000000000000082e-05
3.419274236210027684e+00 3.010347647415410367e-03 1.000000000000000082e-05
3.407473071850133373e+00 3.015646886767424546e-03 1.000000000000000082e-05
3.395712637619098917e+00 3.008159056806975189e-03 1.000000000000000082e-05
3.383992792942372763e+00 3.012230472137116151e-03 1.000000000000000082e-05
3.372313397730576146e+00 3.013518842282317863e-03 1.000000000000000082e-05
3.360674312377830653e+00 3.014810198842327298e-03 1.000000000000000082e-05
3.349075397760089334e+00 3.014474010021663247e-03 1.000000000000000082e-05
