# Wavelength(micron) (rp/rs)^2 Error_Bars
6.090945094763426937e+00 2.955093292070315198e-03 1.000000000000000082e-05
6.069923018379737023e+00 2.992762727302943505e-03 1.000000000000000082e-05
6.048973496860457821e+00 2.993922477513749885e-03 1.000000000000000082e-05
6.028096279792245937e+00 2.960762057188896009e-03 1.000000000000000082e-05
6.007291117626036403e+00 2.961972901762357710e-03 1.000000000000000082e-05
5.986557761674037081e+00 2.991890403910619882e-03 1.000000000000000082e-05
5.965895964106779026e+00 2.977948344031224309e-03 1.000000000000000082e-05
5.945305477950135753e+00 2.993150280262104300e-03 1.000000000000000082e-05
5.924786057082378044e+00 2.978888646575447111e-03 1.000000000000000082e-05
5.904337456231241177e+00 2.974496923122853416e-03 1.000000000000000082e-05
5.883959430970973514e+00 2.997111688693201645e-03 1.000000000000000082e-05
5.863651737719436596e+00 2.979695288999960768e-03 1.000000000000000082e-05
5.843414133735176819e+00 2.967799851733096076e-03 1.000000000000000082e-05
5.823246377114526418e+00 2.994892758592617409e-03 1.000000000000000082e-05
5.803148226788726660e+00 2.955162509698984735e-03 1.000000000000000082e-05
5.783119442521022613e+00 2.969719318840747645e-03 1.000000000000000082e-05
5.763159784903816529e+00 2.988156833656018408e-03 1.000000000000000082e-05
5.743269015355783935e+00 2.975439724247818263e-03 1.000000000000000082e-05
5.723446896119032345e+00 2.985628372430736577e-03 1.000000000000000082e-05
5.703693190256267975e+00 2.969974899890951477e-03 1.000000000000000082e-05
5.684007661647940246e+00 2.971821573735630110e-03 1.000000000000000082e-05
5.664390074989447577e+00 2.963321491365164366e-03 1.000000000000000082e-05
5.644840195788300541e+00 2.982513706662769538e-03 1.000000000000000082e-05
5.625357790361329435e+00 2.967863654077290431e-03 1.000000000000000082e-05
5.605942625831898063e+00 2.961001587405138850e-03 1.000000000000000082e-05
5.586594470127103307e+00 2.968553331673826935e-03 1.000000000000000082e-05
5.567313091975020001e+00 2.969411083204211675e-03 1.000000000000000082e-05
5.548098260901918266e+00 2.968619970211933395e-03 1.000000000000000082e-05
5.528949747229518152e+00 2.957687826348738645e-03 1.000000000000000082e-05
5.509867322072252271e+00 2.949919671063019021e-03 1.000000000000000082e-05
5.490850757334507115e+00 2.939461839286531316e-03 1.000000000000000082e-05
5.471899825707924769e+00 2.972116894721620484e-03 1.000000000000000082e-05
5.453014300668661996e+00 2.948322295626445381e-03 1.000000000000000082e-05
5.434193956474691056e+00 2.953558764992873960e-03 1.000000000000000082e-05
5.415438568163111199e+00 2.979070478615880330e-03 1.000000000000000082e-05
5.396747911547441490e+00 2.934899327625298780e-03 1.000000000000000082e-05
5.378121763214958939e+00 2.945554098325522605e-03 1.000000000000000082e-05
5.359559900524012654e+00 2.964559599209774972e-03 1.000000000000000082e-05
5.341062101601369072e+00 2.953376807794847250e-03 1.000000000000000082e-05
5.322628145339569627e+00 2.947366045373036800e-03 1.000000000000000082e-05
5.304257811394263555e+00 2.944876207359461116e-03 1.000000000000000082e-05
5.285950880181605527e+00 2.960210955468876338e-03 1.000000000000000082e-05
5.267707132875600884e+00 2.966518685556598055e-03 1.000000000000000082e-05
5.249526351405506830e+00 2.967841761048362059e-03 1.000000000000000082e-05
5.231408318453228290e+00 2.964032624576135293e-03 1.000000000000000082e-05
5.213352817450705778e+00 2.978120861122863887e-03 1.000000000000000082e-05
5.195359632577344122e+00 2.959442544378495469e-03 1.000000000000000082e-05
5.177428548757416316e+00 2.973095113493656998e-03 1.000000000000000082e-05
5.159559351657501125e+00 2.952939426703092042e-03 1.000000000000000082e-05
5.141751827683926912e+00 2.960420981400155652e-03 1.000000000000000082e-05
5.124005763980201245e+00 2.939224124387230814e-03 1.000000000000000082e-05
5.106320948424489359e+00 2.950358289592822959e-03 1.000000000000000082e-05
5.088697169627057093e+00 2.945191739161173456e-03 1.000000000000000082e-05
5.071134216927753791e+00 2.934770960393415576e-03 1.000000000000000082e-05
5.053631880393502307e+00 2.924922974753184791e-03 1.000000000000000082e-05
5.036189950815769478e+00 2.931267403034518507e-03 1.000000000000000082e-05
5.018808219708088991e+00 2.941615962616704084e-03 1.000000000000000082e-05
5.001486479303549615e+00 2.926202600369989977e-03 1.000000000000000082e-05
4.984224522552318959e+00 2.929572643145989235e-03 1.000000000000000082e-05
4.967022143119177002e+00 2.926216310839071209e-03 1.000000000000000082e-05
4.949879135381031858e+00 2.945922686063221548e-03 1.000000000000000082e-05
4.932795294424482613e+00 2.941772401898335842e-03 1.000000000000000082e-05
4.915770416043351076e+00 2.955557836651305677e-03 1.000000000000000082e-05
4.898804296736249064e+00 2.973847954317048077e-03 1.000000000000000082e-05
4.881896733704154556e+00 2.979925252729909938e-03 1.000000000000000082e-05
4.865047524847968319e+00 2.988039714386385610e-03 1.000000000000000082e-05
4.848256468766119376e+00 2.991143042296520380e-03 1.000000000000000082e-05
4.831523364752136729e+00 2.986738174153394029e-03 1.000000000000000082e-05
4.814848012792269927e+00 3.013625361720920822e-03 1.000000000000000082e-05
4.798230213563083879e+00 2.988151714446346790e-03 1.000000000000000082e-05
4.781669768429078538e+00 2.999375150513909800e-03 1.000000000000000082e-05
4.765166479440327230e+00 2.979190850172771642e-03 1.000000000000000082e-05
4.748720149330090123e+00 2.995185465929686361e-03 1.000000000000000082e-05
4.732330581512477430e+00 2.994661726463667892e-03 1.000000000000000082e-05
4.715997580080079743e+00 2.979980338440969389e-03 1.000000000000000082e-05
4.699720949801637460e+00 2.987354437151359607e-03 1.000000000000000082e-05
4.683500496119711975e+00 2.973368541937851037e-03 1.000000000000000082e-05
4.667336025148345335e+00 2.963663740972950593e-03 1.000000000000000082e-05
4.651227343670758074e+00 2.972868136685163660e-03 1.000000000000000082e-05
4.635174259137026631e+00 2.980891800640515527e-03 1.000000000000000082e-05
4.619176579661787407e+00 2.981442396346140316e-03 1.000000000000000082e-05
4.603234114021949708e+00 2.981733222072855197e-03 1.000000000000000082e-05
4.587346671654395358e+00 2.983751582625597705e-03 1.000000000000000082e-05
4.571514062653718291e+00 2.977964069401377485e-03 1.000000000000000082e-05
4.555736097769936599e+00 2.972268184991641929e-03 1.000000000000000082e-05
4.540012588406241001e+00 2.970637294675717785e-03 1.000000000000000082e-05
4.524343346616745087e+00 2.965916519611413657e-03 1.000000000000000082e-05
4.508728185104224018e+00 2.968250827029450534e-03 1.000000000000000082e-05
4.493166917217891410e+00 2.957267205576139847e-03 1.000000000000000082e-05
4.477659356951154912e+00 2.974073816140514366e-03 1.000000000000000082e-05
4.462205318939400200e+00 2.972544408893649549e-03 1.000000000000000082e-05
4.446804618457779412e+00 2.982475987842975445e-03 1.000000000000000082e-05
4.431457071418988036e+00 3.009297411409351652e-03 1.000000000000000082e-05
4.416162494371083547e+00 3.023757503931269724e-03 1.000000000000000082e-05
4.400920704495277391e+00 3.039534212341675912e-03 1.000000000000000082e-05
4.385731519603754514e+00 3.048396101674801482e-03 1.000000000000000082e-05
4.370594758137503533e+00 3.067769395207903000e-03 1.000000000000000082e-05
4.355510239164130049e+00 3.079174784388144775e-03 1.000000000000000082e-05
4.340477782375712579e+00 3.090053201148224970e-03 1.000000000000000082e-05
4.325497208086632739e+00 3.098878035187269120e-03 1.000000000000000082e-05
4.310568337231430291e+00 3.116307783738044099e-03 1.000000000000000082e-05
4.295690991362675071e+00 3.112287396292255127e-03 1.000000000000000082e-05
4.280864992648813150e+00 3.117198066201664220e-03 1.000000000000000082e-05
4.266090163872060970e+00 3.110816107068058601e-03 1.000000000000000082e-05
4.251366328426272823e+00 3.113132703936307907e-03 1.000000000000000082e-05
4.236693310314834982e+00 3.117895689240248944e-03 1.000000000000000082e-05
4.222070934148567822e+00 3.108049688348247640e-03 1.000000000000000082e-05
4.207499025143618177e+00 3.089569066567867880e-03 1.000000000000000082e-05
4.192977409119380106e+00 3.052518897143116465e-03 1.000000000000000082e-05
4.178505912496405017e+00 2.994349728056113977e-03 1.000000000000000082e-05
4.164084362294330433e+00 2.935577601210872731e-03 1.000000000000000082e-05
4.149712586129816749e+00 2.927081658653398963e-03 1.000000000000000082e-05
4.135390412214476008e+00 2.930349108634407954e-03 1.000000000000000082e-05
4.121117669352831747e+00 2.920100315163491785e-03 1.000000000000000082e-05
4.106894186940259317e+00 2.930253912301130324e-03 1.000000000000000082e-05
4.092719794960954616e+00 2.930725874370957926e-03 1.000000000000000082e-05
4.078594323985903713e+00 2.931146279715827248e-03 1.000000000000000082e-05
4.064517605170847148e+00 2.912352532223422014e-03 1.000000000000000082e-05
4.050489470254278856e+00 2.908156117923063957e-03 1.000000000000000082e-05
4.036509751555414915e+00 2.903034296883569895e-03 1.000000000000000082e-05
4.022578281972201353e+00 2.891548522265944329e-03 1.000000000000000082e-05
4.008694894979320189e+00 2.893001499631718022e-03 1.000000000000000082e-05
3.994859424626184374e+00 2.883574513806680222e-03 1.000000000000000082e-05
3.981071705534972249e+00 2.887652267370746303e-03 1.000000000000000082e-05
3.967331572898633141e+00 2.881170972691266246e-03 1.000000000000000082e-05
3.953638862478929816e+00 2.887904727905138674e-03 1.000000000000000082e-05
3.939993410604472501e+00 2.886344174348537666e-03 1.000000000000000082e-05
3.926395054168756449e+00 2.888048888788028248e-03 1.000000000000000082e-05
3.912843630628221270e+00 2.886769985723210922e-03 1.000000000000000082e-05
3.899338978000302269e+00 2.891924025447994550e-03 1.000000000000000082e-05
3.885880934861495994e+00 2.885775760355330493e-03 1.000000000000000082e-05
3.872469340345429778e+00 2.888343100749625036e-03 1.000000000000000082e-05
3.859104034140941497e+00 2.885147931912558205e-03 1.000000000000000082e-05
3.845784856490157555e+00 2.905387246370785478e-03 1.000000000000000082e-05
