CENTRALWAVELNG,PL_TRANDEP,PL_TRANDEPERR
3.07615,0.31608,0.02687
3.07683,0.27927,0.02781
3.0775,0.32217,0.02757
3.07818,0.27366,0.02641
3.07886,0.27572,0.02647
3.07954,0.29336,0.02592
3.08022,0.27574,0.0258
3.08089,0.29134,0.02682
3.08157,0.27889,0.02603
3.08293,0.20943,0.0261
3.0836,0.20925,0.02748
3.08428,0.33246,0.02795
3.08496,0.23438,0.02575
3.08564,0.2744,0.02761
3.08632,0.26065,0.02808
3.08699,0.33927,0.02775
3.08767,0.29983,0.02899
3.08835,0.21235,0.02732
3.08903,0.33266,0.02837
3.08971,0.29117,0.02776
3.09039,0.27975,0.02706
3.09106,0.32728,0.02756
3.09174,0.26194,0.02763
3.09242,0.28186,0.02626
3.09309,0.30199,0.02752
3.09377,0.32323,0.02696
3.09445,0.32468,0.02655
3.09513,0.27958,0.02789
3.09581,0.30125,0.02765
3.09648,0.28482,0.02722
3.09716,0.26329,0.02656
3.09784,0.28677,0.02743
3.09852,0.29443,0.02658
3.09919,0.2948,0.0254
3.09987,0.26926,0.0258
3.10055,0.28585,0.02648
3.10123,0.25968,0.02493
3.10191,0.30295,0.02629
3.10258,0.30526,0.02744
3.10326,0.29274,0.02673
3.10394,0.27924,0.02511
3.10462,0.32604,0.02532
3.10529,0.24813,0.02628
3.10597,0.25316,0.02496
3.10665,0.3314,0.02695
3.10733,0.33836,0.0264
3.10801,0.30672,0.0274
3.10868,0.276,0.028
3.10936,0.29644,0.02657
3.11004,0.32809,0.02711
3.11072,0.29338,0.02723
3.11139,0.3168,0.02633
3.11207,0.281,0.02311
3.11275,0.32085,0.02746
3.11343,0.28751,0.02741
3.11411,0.31184,0.0271
3.11478,0.29711,0.0274
3.11546,0.31268,0.02736
3.11614,0.31637,0.02593
3.11682,0.30059,0.02753
3.11953,0.34979,0.02801
3.12021,0.28797,0.02533
3.12088,0.31345,0.02665
3.12156,0.31434,0.02689
3.12224,0.31588,0.02694
3.12292,0.24403,0.02668
3.12359,0.31752,0.02642
3.12427,0.26504,0.02629
3.12495,0.26194,0.02657
3.12562,0.29509,0.02704
3.1263,0.27862,0.02636
3.12698,0.25205,0.02549
3.12766,0.273,0.02765
3.12833,0.27804,0.02679
3.12901,0.31969,0.02749
3.12969,0.27317,0.02694
3.13037,0.36086,0.02893
3.13105,0.31232,0.02834
3.1324,0.25799,0.02757
3.13308,0.2988,0.02811
3.13376,0.29988,0.02648
3.13443,0.28314,0.02784
3.13511,0.21329,0.02868
3.13579,0.26945,0.02678
3.13647,0.24916,0.02588
3.13714,0.26502,0.02675
3.13782,0.27512,0.026
3.1385,0.27812,0.02672
3.13918,0.2726,0.02632
3.13986,0.25225,0.02567
3.14053,0.31242,0.02611
3.14121,0.294,0.02697
3.14189,0.27789,0.02786
3.14256,0.28603,0.02623
3.14324,0.31772,0.0264
3.14392,0.28114,0.02692
3.1446,0.29323,0.02609
3.14527,0.3138,0.02639
3.14595,0.26806,0.02645
3.14663,0.30899,0.02586
3.1473,0.23799,0.02739
3.14798,0.29212,0.02673
3.14866,0.31807,0.02795
3.14934,0.29373,0.02699
3.15002,0.28383,0.02631
3.15069,0.31694,0.02608
3.15137,0.34413,0.02651
3.15205,0.33264,0.02706
3.15273,0.30428,0.02717
3.15341,0.29842,0.02705
3.15408,0.28212,0.02755
3.15476,0.28249,0.02623
3.15544,0.27305,0.02676
3.15611,0.27756,0.02639
3.15679,0.33418,0.0286
3.15747,0.32094,0.02665
3.15815,0.31949,0.02801
3.1595,0.29676,0.02701
3.16018,0.24576,0.02597
3.16086,0.31141,0.02635
3.16153,0.34153,0.02778
3.16221,0.3023,0.02881
3.16289,0.31119,0.02712
3.16357,0.37089,0.0274
3.16424,0.33731,0.02621
3.16492,0.26168,0.02694
3.1656,0.25357,0.02701
3.16627,0.28175,0.0257
3.16695,0.35354,0.0272
3.16763,0.30376,0.02775
3.1683,0.28205,0.02414
3.16898,0.27686,0.02646
3.16966,0.30709,0.02647
3.17034,0.2995,0.02701
3.17102,0.28523,0.02675
3.17169,0.2943,0.02678
3.17237,0.20913,0.02618
3.17305,0.24938,0.02635
3.17373,0.24444,0.02589
3.1744,0.25043,0.0218
3.17508,0.37632,0.02829
3.17576,0.32794,0.02679
3.17643,0.31599,0.02666
3.17711,0.29311,0.02795
3.17779,0.27344,0.02737
3.17846,0.27739,0.02784
3.18117,0.3008,0.02692
3.18185,0.28638,0.0266
3.18253,0.27144,0.02802
3.18321,0.28792,0.02951
3.18388,0.2845,0.02626
3.18456,0.30789,0.02622
3.18524,0.31274,0.0274
3.18591,0.34698,0.02702
3.18659,0.3052,0.02687
3.18727,0.27826,0.02642
3.18795,0.34526,0.02635
3.18862,0.27955,0.02666
3.1893,0.31962,0.02728
3.18998,0.28965,0.02713
3.19066,0.30329,0.02668
3.19133,0.35485,0.02753
3.19201,0.32612,0.02708
3.19269,0.33068,0.0277
3.19404,0.24377,0.02481
3.19472,0.36458,0.02694
3.1954,0.31454,0.02692
3.19607,0.30961,0.02633
3.19675,0.33872,0.02729
3.19743,0.28986,0.0277
3.1981,0.31671,0.02722
3.19878,0.29896,0.02713
3.19946,0.26338,0.02745
3.20013,0.31424,0.02731
3.20081,0.30207,0.02743
3.20149,0.27603,0.02758
3.20284,0.3048,0.0265
3.20352,0.2673,0.02626
3.2042,0.27626,0.02734
3.20488,0.29665,0.02627
3.20555,0.33271,0.02652
3.20623,0.31589,0.02561
3.20691,0.27723,0.02629
3.20758,0.30152,0.02592
3.20826,0.30638,0.02606
3.20893,0.24976,0.02557
3.20961,0.32939,0.02554
3.21029,0.27962,0.02724
3.21097,0.30405,0.02653
3.21164,0.2949,0.02669
3.21232,0.30674,0.02658
3.213,0.28831,0.02517
3.21368,0.27981,0.0265
3.21435,0.32388,0.02722
3.21503,0.25425,0.02561
3.21571,0.3128,0.02609
3.21638,0.35292,0.02714
3.21706,0.29135,0.02738
3.21774,0.25898,0.02659
3.21842,0.26976,0.02712
3.21909,0.28541,0.02842
3.21977,0.34914,0.02748
3.22045,0.26738,0.02613
3.22112,0.26685,0.0279
3.2218,0.31082,0.02718
3.22247,0.32942,0.02741
3.22315,0.31069,0.02639
3.22383,0.32279,0.027
3.22451,0.21888,0.02726
3.22518,0.3336,0.02742
3.22586,0.32123,0.02818
3.22654,0.28914,0.02771
3.22721,0.2773,0.02766
3.22789,0.28249,0.02834
3.22857,0.30205,0.02805
3.22924,0.33133,0.02729
3.22992,0.30351,0.0272
3.2306,0.30063,0.02663
3.23128,0.27154,0.02703
3.23195,0.34693,0.02875
3.23263,0.31294,0.02826
3.23331,0.30291,0.02728
3.23398,0.29475,0.0268
3.23466,0.30568,0.02673
